SECURITY_ID,UNDERLYING_SYMBOL
15146,JYOTHYLAB
1515,INDIACEM
15151,MADHAV
15156,KALYANIFRG
15157,RHL
15161,HITECHCORP
15174,TARIL
15179,ECLERX
15180,KIRLPNU
15184,BRIGADE
15199,MANAKSIA
15204,ARIES
15209,PPAP
1521,INDIAGLYCO
15214,DVL
15219,PATINTLOG
15228,UJJIVANSFB
15229,LICNFNHGP
15234,AMBIKCO
15239,BIRLAMONEY
15254,CEATLTD
15259,RPOWER
15266,JKIL
15271,CORDSCABLE
15278,ONMOBILE
15283,KNRCON
1530,INDIANHUME
15303,BANG
15308,SEPC
15313,IRB
15330,QGOLDHALF
15332,NMDC
15337,RAIN
15342,SHALPAINTS
15355,RECLTD
15356,GOLDADD
15360,NAHARCAP
15362,VGUARD
15377,PDMJEPAPER
15380,MANKIND
15399,EIHAHOTELS
154,APCOTEXIND
15404,ATAM
15409,NESCO
15414,TITAGARH
15419,DPSCLTD
15420,ACL
1547,RKEC
15555,HCG
15589,AVG
15649,ATALREAL
1565,RVHL
157,APOLLOHOSP
1570,GMMPFAUDLR
15716,PIGL
1576,GILLETTE
1581,TARC
15883,HINDWAREAP
1593,MGEL
1594,INFY
1597,INGERRAND
16045,PRINCEPIPE
1607,AURIGROW
16123,BHARATWIRE
1614,FAIRCHEMOR
1621,TATAINVEST
1624,IOC
16249,CCAVENUE
16253,EBBETF0430
1627,LINDEINDIA
1628,BECTORFOOD
163,APOLLOTYRE
1630,IONEXCHANG
1633,IPCALAB
16395,MMP
166,ANDHRAPAP
1660,ITC
1663,SUNDROP
16639,KIRIINDUS
16658,SIGMA
16669,BAJAJ-AUTO
16675,BAJAJFINSV
16682,PTCIL
16696,GHCLTEXTIL
16705,GOKUL
16713,UBL
16719,ALMONDZ
1672,HGINFRA
16725,RPGLIFE
16736,MKPL
1675,ITI
16777,SILVERAG
16783,GVT&D
16795,ARCHIDPLY
16807,LOTUSEYE
1681,IVP
16819,QNIFTY
16821,VINYLINDIA
16822,IKIO
16827,KOKUYOCMLN
16859,SINDHUTRAD
16875,SICAGEN
16900,DPWIRES
16908,TOUCHWOOD
16913,ARTEMISMED
16915,ZFCVINDIA
16921,20MICRONS
16927,JOCIL
16933,INDBANK
16943,ASHOKAMET
16959,ALKALI
16986,COUNCODOS
16996,TPHQ
17,GATECHDVR
17029,PATANJALI
17032,THYROCARE
17044,SHARIABEES
17053,HMAAGRO
1708,JAYBARMARU
17094,CROMPTON
17105,SUMICHEM
17130,PARAGMILK
17140,IDEAFORGE
17145,AARTECH
17152,MIDCAPIETF
17181,NEXT50
17186,SHRIPISTON
17187,CYIENTDLM
17197,PAKKA
1720,JAYSREETEA
17207,ITADD
17256,ALBERTDAVD
1726,JBCHEPHARM
17263,ARMANFIN
17270,ASPINWALL
17271,SENCO
17272,SETFGOLD
17279,BLS
17307,AJMERA
17313,LLOYDSME
17333,MHRIL
17351,SALONA
17357,GKWLIMITED
17358,UTKARSHBNK
17364,VINATIORGA
17376,LANDSMILL
17388,ADANIPOWER
17395,SETF10GILT
17397,PREMEXPLN
17400,NHPC
17419,BANKETF
17424,GLOBUSSPR
17433,NETWEB
17438,OIL
17475,NV20IETF
17477,CONTROLPR
17486,EXPLEOSOL
17507,INCREDIBLE
17520,RTNPOWER
17534,MGL
17541,DAMODARIND
17547,AMRUTANJAN
1756,JINDALPOLY
17572,LIQUID
17576,PVTBANKADD
17598,ASALCBR
17603,MAHEPC
17613,SENSEXADD
17616,PSUBANKADD
17625,MOLDTECH
17635,ZYDUSWELL
17641,SUNTECK
17651,POKARNA
17675,ALOKINDS
17685,GPTINFRA
17700,LTGILTBEES
17702,MIDSELIETF
17704,QUESS
17722,DEN
17728,ASTEC
17738,YATHARTH
17747,NIITMTS
17752,SHILPAMED
17758,SARDAEN
17764,REFEX
17770,GROBTEA
17778,ATL
17794,SOMICONVEY
17795,TREL
17801,LLOYDSENGG
17808,QUAL30IETF
17818,LTM
1782,KANPRPLA
17833,AHLUCONT
17839,GILLANDERS
17851,DLINKINDIA
17859,REDTAPE
17869,JSWENERGY
17875,GODREJPROP
17881,DBCORP
17888,GATECH
17903,ABBOTINDIA
17922,GEEKAYWIRE
17927,BAYERCROP
17933,BEARDSELL
17939,HINDCOPPER
17945,COHANCE
17957,MMTC
17963,NESTLEIND
1797,AWHCL
17971,SBICARD
17987,TRF
17999,UNITEDTEA
18011,WHIRLPOOL
1802,JYOTISTRUC
18026,SBFC
18039,ADVENZYMES
18049,MINDTECK
1805,KABRAEXTRU
18060,CONCORDBIO
1808,KAJARIACER
18086,DBL
18096,JUBLFOOD
181,ARENTERP
18102,NIFTY1
18118,THANGAMAYL
18119,SRGHFL
18124,DBREALTY
18131,YASHO
18139,DOLPHIN
1814,KPIL
18142,EMMBI
18143,JIOFIN
18154,HATHWAY
18208,ORIENTLTD
18214,TEXMOPIPES
18226,MANINFRA
18232,LORDSCHLO
18250,PYRAMID
18252,SPAL
1826,KAMATHOTEL
18268,AEROFLEX
18279,HDFCLIQUID
18284,HNGSNGBEES
18292,IVZINGOLD
18321,LGBBROSLTD
18347,MIDCAPBETA
1835,KANORICHEM
18359,SANDUMA
18365,PERSISTENT
18371,NDGL
1838,KARURVYSYA
18391,RBLBANK
184,TCPLPACK
1841,KCP
18417,RISHABH
18422,ASIANHOTNR
18423,RATNAVEER
18431,BIGBLOC
18457,POWERINDIA
18479,ISFT
18504,TVVISION
18520,CUPID
18543,DIACABS
18553,JLHL
18562,MITTAL
18564,LTTS
